date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:34	1474/1474	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jul%202023%2004:53:33%20GMT	https://qondri-html.vercel.app/robots.txt		(from )
10:23:34	75210/75210	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:53:33%20GMT	https://qondri-html.vercel.app/	E:/Templates/3(qondri)/qondri-html.vercel.app/index.html	(from )
10:23:34	17258/17258	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2004:53:33%20GMT	https://qondri-html.vercel.app/assets/images/favicons/apple-touch-icon.png	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/images/favicons/apple-touch-icon.png	(from https://qondri-html.vercel.app/)
10:23:34	1362/1362	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2004:53:34%20GMT	https://qondri-html.vercel.app/assets/images/favicons/favicon-32x32.png	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/images/favicons/favicon-32x32.png	(from https://qondri-html.vercel.app/)
10:23:35	547/547	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2004:53:34%20GMT	https://qondri-html.vercel.app/assets/images/favicons/favicon-16x16.png	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/images/favicons/favicon-16x16.png	(from https://qondri-html.vercel.app/)
10:23:35	263/263	---M--	200	added ('OK')	application/manifest+json	date:Fri,%2021%20Jul%202023%2004:53:34%20GMT	https://qondri-html.vercel.app/assets/images/favicons/site.webmanifest	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/images/favicons/site.webmanifest	(from https://qondri-html.vercel.app/)
10:23:35	154875/154875	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:34%20GMT	https://qondri-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://qondri-html.vercel.app/)
10:23:35	87493/87493	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:34%20GMT	https://qondri-html.vercel.app/assets/vendors/animate/animate.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/animate/animate.min.css	(from https://qondri-html.vercel.app/)
10:23:35	26355/26355	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:35%20GMT	https://qondri-html.vercel.app/assets/vendors/animate/custom-animate.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/animate/custom-animate.css	(from https://qondri-html.vercel.app/)
10:23:36	59348/59348	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:35%20GMT	https://qondri-html.vercel.app/assets/vendors/fontawesome/css/all.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/fontawesome/css/all.min.css	(from https://qondri-html.vercel.app/)
10:23:36	335/335	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:35%20GMT	https://qondri-html.vercel.app/assets/vendors/jarallax/jarallax.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/jarallax/jarallax.css	(from https://qondri-html.vercel.app/)
10:23:36	7302/7302	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:35%20GMT	https://qondri-html.vercel.app/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://qondri-html.vercel.app/)
10:23:36	4040/4040	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:35%20GMT	https://qondri-html.vercel.app/assets/vendors/nouislider/nouislider.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/nouislider/nouislider.min.css	(from https://qondri-html.vercel.app/)
10:23:37	1421/1421	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:36%20GMT	https://qondri-html.vercel.app/assets/vendors/nouislider/nouislider.pips.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/nouislider/nouislider.pips.css	(from https://qondri-html.vercel.app/)
10:23:37	3116/3116	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:36%20GMT	https://qondri-html.vercel.app/assets/vendors/odometer/odometer.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/odometer/odometer.min.css	(from https://qondri-html.vercel.app/)
10:23:37	13689/13689	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:36%20GMT	https://qondri-html.vercel.app/assets/vendors/swiper/swiper.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/swiper/swiper.min.css	(from https://qondri-html.vercel.app/)
10:23:37	2001/2001	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:36%20GMT	https://qondri-html.vercel.app/assets/vendors/qondri-icons/style.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/qondri-icons/style.css	(from https://qondri-html.vercel.app/)
10:23:37	2058/2058	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2004:53:37%20GMT	https://qondri-html.vercel.app/assets/vendors/tiny-slider/tiny-slider.min.css	E:/Templates/3(qondri)/qondri-html.vercel.app/assets/vendors/tiny-slider/tiny-slider.min.css	(from https://qondri-html.vercel.app/)
